2026-07-09 20:39:29.614 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:39:29.615 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:39:29.647 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:39:29.650 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:39:29.670 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:39:29.734 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:39:29.754 | INFO     | app.view.setting_interface:_updateActivationStatus:360 | [Setting] 当前状态: 未激活
2026-07-09 20:39:29.809 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 20:39:29.811 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 20:39:29.832 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 20:39:29.832 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 20:39:32.421 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 20:41:06.702 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:41:06.821 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
2026-07-09 20:41:07.175 | DEBUG    | app.view.main_window:initWindow:50 | 已设置窗口基本属性
2026-07-09 20:41:07.177 | DEBUG    | app.view.main_window:initWindow:55 | 已创建并设置启动屏幕
2026-07-09 20:41:07.177 | DEBUG    | app.view.main_window:initWindow:60 | 已移动窗口到屏幕中心
2026-07-09 20:41:07.210 | INFO     | app.view.main_window:initWindow:64 | 窗口初始化完成并显示
2026-07-09 20:41:07.213 | INFO     | app.view.setting_interface:__init__:32 | [Setting] SoftwareSettingWidget 初始化
2026-07-09 20:41:07.231 | INFO     | app.view.setting_interface:__init__:180 | [Setting] LicenseSettingWidget 初始化
2026-07-09 20:41:07.295 | INFO     | app.view.setting_interface:_loadDeviceId:267 | [Setting] 设备码加载成功: 6a381896f683703f...
2026-07-09 20:41:07.315 | INFO     | app.view.setting_interface:_updateActivationStatus:360 | [Setting] 当前状态: 未激活
2026-07-09 20:41:07.372 | DEBUG    | app.view.main_window:connectSignalToSlot:29 | 连接信号和槽
2026-07-09 20:41:07.372 | INFO     | app.view.main_window:initNavigation:32 | 开始初始化导航界面
2026-07-09 20:41:07.393 | INFO     | app.view.main_window:initNavigation:40 | 导航界面初始化完成
2026-07-09 20:41:07.394 | INFO     | app.view.main_window:__init__:26 | 主窗口初始化完成
2026-07-09 20:41:23.354 | INFO     | app.view.setting_interface:_activateLicense:295 | [Setting] 尝试激活，激活码: eyJkZXZp...
2026-07-09 20:41:23.374 | INFO     | app.view.setting_interface:_activateLicense:315 | [Setting] 激活成功
2026-07-09 20:41:23.381 | INFO     | app.view.setting_interface:_updateActivationStatus:348 | [Setting] 当前状态: gg | 有效期至 2026-12-31 | 剩余 174 天
2026-07-09 20:41:32.370 | INFO     | __main__:<module>:48 | 应用程序退出
2026-07-09 20:41:38.196 | INFO     | app.view.main_window:__init__:16 | 开始初始化主窗口
2026-07-09 20:41:38.311 | INFO     | app.view.main_window:initWindow:43 | 开始初始化窗口设置
